                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1477,                 3.2011,                 1.3393,                0.00587,                0.53708,                0.14168,                0.10936,                 1.0526,                    inf,                 1.3888,                 0.0019,                 0.0019,                 0.0019
                      2,                 1.0495,                 1.5652,                 1.2261,                0.85777,                0.20553,                0.32659,                0.25097,                 1.0851,                    inf,                 1.3834,              0.0038961,              0.0038961,              0.0038961
                      3,                 1.0169,                 1.1303,                 1.1782,                0.91937,                0.16781,                0.27308,                0.20545,                  1.119,                    inf,                 1.3535,              0.0058883,              0.0058883,              0.0058883
                      4,                 1.0076,                 1.0045,                 1.1676,                 0.5919,                0.42184,                0.47537,                0.30883,                 1.4708,                 2.6871,                 1.7943,              0.0078765,              0.0078765,              0.0078765
                      5,                0.99458,                0.97152,                 1.1726,                0.76759,                0.68106,                0.76753,                0.51657,                 1.0196,                  1.817,                 1.3278,              0.0098608,              0.0098608,              0.0098608
                      6,                 1.0034,                0.91784,                 1.1789,                0.44747,                0.64886,                 0.4576,                   0.26,                 1.3706,                 2.2273,                 1.7839,              0.0099505,              0.0099505,              0.0099505
                      7,                0.98299,                0.86549,                 1.1594,                 0.4174,                0.54898,                0.52163,                0.27628,                 1.2395,                 2.0088,                 1.8113,              0.0099406,              0.0099406,              0.0099406
                      8,                0.98311,                0.80678,                 1.1592,                0.58213,                0.48071,                0.61045,                0.37099,                 1.1832,                 1.8162,                 1.5744,              0.0099307,              0.0099307,              0.0099307
                      9,                0.97775,                0.75115,                  1.151,                0.72289,                0.65703,                0.77491,                0.52885,                 1.3116,                 1.7585,                 1.7483,              0.0099208,              0.0099208,              0.0099208
                     10,                0.95808,                0.72847,                 1.1436,                 0.5988,                0.61146,                 0.5666,                0.40498,                 1.3865,                 2.0256,                 1.7108,              0.0099109,              0.0099109,              0.0099109
                     11,                0.95913,                0.70707,                 1.1417,                0.47573,                0.65042,                  0.468,                0.30173,                 1.1262,                 1.6139,                 1.4587,               0.009901,               0.009901,               0.009901
                     12,                0.94684,                0.68027,                 1.1396,                0.53001,                0.71976,                0.58482,                 0.3946,                  1.001,                 1.3256,                 1.4205,              0.0098911,              0.0098911,              0.0098911
                     13,                0.94815,                0.66032,                 1.1336,                0.64713,                0.67904,                0.74093,                0.54562,                 1.1367,                 1.4126,                 1.4311,              0.0098812,              0.0098812,              0.0098812
                     14,                0.92282,                0.63146,                 1.1236,                0.73848,                0.75299,                0.77665,                0.52298,                 1.2988,                 1.7341,                 1.6469,              0.0098713,              0.0098713,              0.0098713
                     15,                0.90489,                0.62493,                  1.124,                0.81569,                0.84072,                0.89973,                0.62922,                0.84428,                0.77364,                 1.0296,              0.0098614,              0.0098614,              0.0098614
                     16,                0.90668,                0.60138,                 1.1174,                0.85167,                0.84768,                 0.9078,                0.65367,                0.99233,                0.90542,                 1.3373,              0.0098515,              0.0098515,              0.0098515
                     17,                0.90379,                0.59668,                 1.1211,                0.84952,                 0.8329,                0.88123,                0.64486,                 1.0214,                0.82202,                 1.2859,              0.0098416,              0.0098416,              0.0098416
                     18,                0.91561,                0.58992,                 1.1129,                  0.759,                 0.6413,                0.76399,                0.55997,                 1.0354,                 1.2646,                 1.3088,              0.0098317,              0.0098317,              0.0098317
                     19,                0.90448,                 0.5796,                 1.1084,                0.84511,                0.77667,                0.87657,                0.63508,                  1.039,                0.98905,                  1.373,              0.0098218,              0.0098218,              0.0098218
                     20,                 0.8975,                 0.5727,                 1.0979,                0.79425,                0.78001,                0.85385,                0.60812,                0.98205,                 1.0369,                 1.1912,              0.0098119,              0.0098119,              0.0098119
                     21,                0.87861,                0.55826,                 1.0993,                0.88562,                0.81719,                 0.9139,                0.67347,                 1.0325,                0.92803,                 1.4219,               0.009802,               0.009802,               0.009802
                     22,                0.87666,                0.55876,                 1.1005,                0.81705,                0.78671,                0.86149,                0.63575,                 0.9643,                 1.1177,                 1.2059,              0.0097921,              0.0097921,              0.0097921
                     23,                0.88443,                 0.5545,                 1.0961,                0.79822,                0.74634,                0.83976,                0.60499,                0.88943,                 0.7337,                 1.0858,              0.0097822,              0.0097822,              0.0097822
                     24,                0.87214,                0.54889,                 1.0953,                0.57331,                0.60343,                0.61645,                0.44448,                 1.2652,                 2.5025,                 1.4451,              0.0097723,              0.0097723,              0.0097723
                     25,                0.86637,                 0.5486,                 1.0922,                0.84804,                0.87794,                 0.9128,                0.67425,                0.92476,                 0.7958,                 1.1698,              0.0097624,              0.0097624,              0.0097624
                     26,                 0.8618,                0.53506,                 1.0885,                0.83386,                0.73918,                0.86969,                0.64057,                 1.0519,                 1.0333,                 1.3754,              0.0097525,              0.0097525,              0.0097525
                     27,                0.85247,                0.52301,                 1.0778,                0.72577,                0.69274,                0.76244,                 0.5637,                0.92932,                  1.163,                 1.1764,              0.0097426,              0.0097426,              0.0097426
                     28,                0.86716,                0.54073,                 1.0908,                0.80026,                 0.7791,                0.88212,                0.63729,                 1.0412,                0.78133,                 1.3174,              0.0097327,              0.0097327,              0.0097327
                     29,                0.84347,                0.51506,                 1.0801,                0.88105,                0.87275,                0.92816,                0.68316,                0.91643,                0.72748,                 1.1717,              0.0097228,              0.0097228,              0.0097228
                     30,                0.84418,                0.51098,                 1.0775,                0.81532,                0.80276,                0.86738,                0.63332,                 1.1615,                0.98181,                 1.5629,              0.0097129,              0.0097129,              0.0097129
                     31,                0.83117,                0.50066,                 1.0651,                0.87984,                 0.8196,                0.89485,                0.65391,                 1.1298,                0.86904,                 1.5862,               0.009703,               0.009703,               0.009703
                     32,                0.84444,                0.50949,                 1.0736,                0.91041,                 0.8565,                0.93246,                0.70391,                0.86123,                0.66424,                 1.1635,              0.0096931,              0.0096931,              0.0096931
                     33,                0.82186,                0.49463,                 1.0635,                0.86164,                0.78895,                0.88161,                0.63845,                0.98484,                0.94601,                 1.1928,              0.0096832,              0.0096832,              0.0096832
                     34,                0.82462,                0.49538,                 1.0611,                 0.8663,                0.87343,                0.92974,                0.70397,                0.81531,                0.67439,                 1.0629,              0.0096733,              0.0096733,              0.0096733
                     35,                0.83354,                0.49465,                 1.0709,                0.87512,                0.87411,                0.91749,                0.68301,                0.87326,                0.69512,                 1.1014,              0.0096634,              0.0096634,              0.0096634
                     36,                0.81841,                0.48174,                 1.0609,                 0.8862,                0.86538,                0.91281,                0.67495,                0.85899,                0.69324,                 1.0942,              0.0096535,              0.0096535,              0.0096535
                     37,                0.82117,                0.49135,                 1.0587,                0.88272,                0.88459,                0.92623,                0.69341,                0.74617,                0.58757,                0.93396,              0.0096436,              0.0096436,              0.0096436
